row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,attacked_height,attacked_width,dwt_subband_height,dwt_subband_width,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
122,30,5234313.png,0,27dfba357383295b28718e4953d603bc21fcdbfcbaddef5689340cbb1cc76d1d,moderate,447,509,112,128,0.5234375,0.5234375,0.19370213150978088,0.7629456520080566
123,30,5234313.png,0,27dfba357383295b28718e4953d603bc21fcdbfcbaddef5689340cbb1cc76d1d,severe,389,505,98,127,0.5390625,0.5625,0.22360001504421234,0.760198712348938
124,31,5234313.png,1,990d7fc0aba5120fdcd3ee0f57955dd6c134f4baa7a5511618d264062329c81b,clean,512,512,128,128,0.0625,0.0,0.5015295147895813,0.8682382106781006
125,31,5234313.png,1,990d7fc0aba5120fdcd3ee0f57955dd6c134f4baa7a5511618d264062329c81b,mild,494,512,124,128,0.4921875,0.5390625,0.24809686839580536,0.753453254699707
126,31,5234313.png,1,990d7fc0aba5120fdcd3ee0f57955dd6c134f4baa7a5511618d264062329c81b,moderate,447,509,112,128,0.5234375,0.5234375,0.19363704323768616,0.7628154754638672
127,31,5234313.png,1,990d7fc0aba5120fdcd3ee0f57955dd6c134f4baa7a5511618d264062329c81b,severe,389,505,98,127,0.4609375,0.4375,0.22360001504421234,0.760198712348938
128,32,5234366.png,0,9457c8bff17f7d8f6d8c46a5596b4f51c82a8d83208e82593f0d7ee115ebab79,clean,512,512,128,128,0.3984375,0.0,0.5296211242675781,0.8370899558067322
129,32,5234366.png,0,9457c8bff17f7d8f6d8c46a5596b4f51c82a8d83208e82593f0d7ee115ebab79,mild,494,512,124,128,0.546875,0.5546875,0.11635462194681168,0.8067899942398071
130,32,5234366.png,0,9457c8bff17f7d8f6d8c46a5596b4f51c82a8d83208e82593f0d7ee115ebab79,moderate,447,509,112,128,0.5234375,0.5078125,0.1436643749475479,0.7923734784126282
131,32,5234366.png,0,9457c8bff17f7d8f6d8c46a5596b4f51c82a8d83208e82593f0d7ee115ebab79,severe,389,505,98,127,0.53125,0.5078125,0.15884985029697418,0.8026371002197266
132,33,5234366.png,1,b8b69aa977e0b5312ccc850be78cc433d7bc2a1eec5b248e68f13d4c1edc3427,clean,512,512,128,128,0.375,0.0,0.4812278747558594,0.8340398073196411
133,33,5234366.png,1,b8b69aa977e0b5312ccc850be78cc433d7bc2a1eec5b248e68f13d4c1edc3427,mild,494,512,124,128,0.4609375,0.46875,0.1161860004067421,0.8071272373199463
134,33,5234366.png,1,b8b69aa977e0b5312ccc850be78cc433d7bc2a1eec5b248e68f13d4c1edc3427,moderate,447,509,112,128,0.46875,0.453125,0.14111191034317017,0.797478437423706
135,33,5234366.png,1,b8b69aa977e0b5312ccc850be78cc433d7bc2a1eec5b248e68f13d4c1edc3427,severe,389,505,98,127,0.4765625,0.46875,0.15864557027816772,0.8030456304550171
136,34,5234368.png,0,f3b58a2cfa56ddb41db2c25ffb593c7a315ae15a6de73c4dfa5cb2b0e8f5727f,clean,512,512,128,128,0.1640625,0.0,0.4601568579673767,0.8562369346618652
137,34,5234368.png,0,f3b58a2cfa56ddb41db2c25ffb593c7a315ae15a6de73c4dfa5cb2b0e8f5727f,mild,494,512,124,128,0.453125,0.4375,0.2106572389602661,0.7542962431907654
138,34,5234368.png,0,f3b58a2cfa56ddb41db2c25ffb593c7a315ae15a6de73c4dfa5cb2b0e8f5727f,moderate,447,509,112,128,0.5078125,0.53125,0.22642388939857483,0.7479575872421265
139,34,5234368.png,0,f3b58a2cfa56ddb41db2c25ffb593c7a315ae15a6de73c4dfa5cb2b0e8f5727f,severe,389,505,98,127,0.421875,0.421875,0.1927935928106308,0.7516535520553589
140,35,5234368.png,1,447d07d94a8ace917e6330943bc6a0ea0af48786a64e0ba3d1840da7821ec895,clean,512,512,128,128,0.2421875,0.0,0.5960664749145508,0.8632503747940063
